theme,family,effort,linear_model_predicts_actor_choice,judge_predicts_actor_choice,linear_model_factor_matches_stated_factor,judge_factor_matches_stated_factor,n_choice_ok,n_judge_choice_ok,n_premise_ok,n_judge_premise_ok,linear_model_predicts_actor_choice_se,judge_predicts_actor_choice_se,linear_model_factor_matches_stated_factor_se,judge_factor_matches_stated_factor_se,linear_model_predicts_actor_choice_ci_lo,judge_predicts_actor_choice_ci_lo,linear_model_factor_matches_stated_factor_ci_lo,judge_factor_matches_stated_factor_ci_lo,linear_model_predicts_actor_choice_ci_hi,judge_predicts_actor_choice_ci_hi,linear_model_factor_matches_stated_factor_ci_hi,judge_factor_matches_stated_factor_ci_hi,model_tag
policy,GPT-5-nano,minimal,0.8141666666666667,0.6708333333333333,0.665,0.4675,1200,1200,1200,1200,0.01629824680487785,0.019363153322565607,0.03196094554468344,0.02759465436502502,0.7813509778911565,0.6360701650943397,0.6018190092205097,0.41419141914191415,0.8463449457452884,0.7095737721417069,0.7216981132075472,0.5205678559379217,nano_min
policy,Ministral-3-14B,low,0.6616666666666666,0.6433333333333333,0.6833333333333333,0.5025,1200,1200,1200,1200,0.02076348052146589,0.021298911678415463,0.024456763698693356,0.022117338462687274,0.6245625,0.60245899589959,0.6357349444621881,0.45964095744680855,0.7018638276742646,0.6840344551282052,0.7281359305024354,0.5485674502029643,ministral_low
policy,Ministral-3-14B,minimal,0.7916666666666666,0.7241666666666666,0.7591666666666667,0.59,1200,1200,1200,1200,0.01699945002582404,0.021766690084107414,0.026742477458950847,0.024281805122976174,0.7571262395118231,0.6783974873344032,0.7060178995840761,0.5414622274143301,0.8208383338333833,0.7629976383265857,0.8120749895702962,0.6370885854341736,ministral_min
policy,Qwen3-14B,low,0.8675,0.79,0.8958333333333334,0.7033333333333334,1200,1200,1200,1200,0.025450671195622387,0.032345330063999665,0.024720374294072138,0.03332384451639834,0.8157074468085106,0.7238175243215565,0.8345316079610539,0.6346948596014492,0.9153727324263038,0.8469583333333334,0.9330202036392502,0.7665114379084967,qwen_low
policy,Qwen3-14B,minimal,0.8866666666666667,0.71,0.7533333333333333,0.5033333333333333,1200,1200,1200,1200,0.02192437135822965,0.029077464398722375,0.037860498762501374,0.03176497778360013,0.8381155736703914,0.6589710884353741,0.6797947422947423,0.43880129179331306,0.920996436686635,0.7701604340919406,0.8358333333333333,0.5605658567774936,qwen_min
software,GPT-5-mini,low,0.8591666666666666,0.6533333333333333,0.8908333333333334,0.5525,1200,1200,1200,1200,0.028118499641624467,0.04606042131435425,0.02563604974756168,0.03840061008682593,0.7912180228078286,0.563110294117647,0.8357433316969399,0.48341171617161716,0.8991491977225673,0.7396551155115512,0.9370101072607261,0.6299725877192982,mini_low
software,GPT-5-mini,minimal,0.8591666666666666,0.8075,0.72,0.5525,1200,1200,1200,1200,0.025999058041171544,0.02713094864589785,0.04107090705900528,0.03023749295632,0.8017295597484277,0.7519866196525313,0.6541131365740741,0.4970210158531498,0.9022149122807017,0.854281798245614,0.8093224726986409,0.6137384743629002,mini_min
software,GPT-5-nano,low,0.7516666666666667,0.7275,0.7616666666666667,0.5108333333333334,1200,1200,1200,1200,0.02573957091975814,0.027961440936103185,0.03302497667121915,0.031842967258204284,0.7033690639717425,0.6753545295113691,0.6951716247139589,0.44884222919937206,0.8039801830360341,0.7815318943298969,0.8175716440422323,0.5740221088435373,nano_low
software,GPT-5-nano,minimal,0.865,0.56,0.42333333333333334,0.30083333333333334,1200,1200,1200,1200,0.015588515432900404,0.022976547597403297,0.026879397771022457,0.027175245610393018,0.8275233957219251,0.51125,0.3680637626262626,0.2487543402777778,0.8919048254985755,0.6024670138888889,0.47305221330956626,0.3557040516572442,nano_min
software,Ministral-3-14B,low,0.6458333333333334,0.615,0.65,0.4525,1200,1200,1200,1200,0.018254346892163056,0.021079292261702198,0.02907909517606925,0.01998915276486394,0.6095146048109965,0.5741663466461854,0.5896318770226537,0.411324401867341,0.6797073448358495,0.6527935262457668,0.7046118180921377,0.48496631205673757,ministral_low
software,Ministral-3-14B,minimal,0.7608333333333334,0.6983333333333334,0.6275,0.48833333333333334,1200,1200,1200,1200,0.015010370145962048,0.020300528047844338,0.03378672814176568,0.024235187790624977,0.7331547619047619,0.6603971962616823,0.56144429125817,0.4428535766158315,0.7944570096079668,0.7401909722222222,0.6955277777777777,0.5340625,ministral_min
software,Qwen3-14B,low,0.8033333333333333,0.7791666666666667,0.7916666666666666,0.5733333333333334,1200,1200,1200,1200,0.02371389676962415,0.027868806907955828,0.03161577649738232,0.032099064091729294,0.757422794117647,0.7243569470799072,0.7253298611111111,0.5143055555555556,0.8540618908382066,0.8307300724637681,0.8565569067432798,0.6376151315789473,qwen_low
software,Qwen3-14B,minimal,0.8583333333333333,0.7541666666666667,0.6825,0.42916666666666664,1200,1200,1200,1200,0.024728644518298058,0.03090986114841981,0.03283098284321272,0.03426080356569517,0.7966453141160378,0.6911370192307692,0.6177170851820385,0.3575127688172043,0.8919598353360034,0.8087095178590024,0.7438011551155115,0.49333261741122564,qwen_min
